video_url,format,duration,playlist_url,video_number,video_no,channel_url,playlist_number,playlist_no,channel_title,playlist_title,video_title
https://youtube.com/watch?v=X6txRnbFmMk,_UNKNOWN_,254,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,9,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,Why did SCOTUS affirm personal jurisdiction over defendant in Ford Motor Co. v. Montana 8th Dist Ct?
https://youtube.com/watch?v=65HCWnsLoPw,_UNKNOWN_,240,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,10,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,What is the series qualifier canon?
https://youtube.com/watch?v=fSisjxFeRYg,_UNKNOWN_,196,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,11,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,What did the Supreme Court decide in Edwards v. Vannoy?
https://youtube.com/watch?v=rPpKxDXlsrg,_UNKNOWN_,187,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,12,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,What did the Supreme Court decide in Mahanoy Area School District v. B.L.?
https://youtube.com/watch?v=oc4sIdpAOwg,_UNKNOWN_,168,https://www.youtube.com/playlist?list=PLRXyknBDMNN2jTGElzLg9dVYb_aTfkuI8,8,0,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,6,USLawEssentials,Evidence,What is hearsay?
https://youtube.com/watch?v=0uguH95NRQQ,_UNKNOWN_,165,https://www.youtube.com/playlist?list=PLRXyknBDMNN2jTGElzLg9dVYb_aTfkuI8,8,1,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,6,USLawEssentials,Evidence,What is an example of non-hearsay?
https://youtube.com/watch?v=O8HMK-_Jvmg,_UNKNOWN_,126,https://www.youtube.com/playlist?list=PLRXyknBDMNN2jTGElzLg9dVYb_aTfkuI8,8,2,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,6,USLawEssentials,Evidence,What is an expert witness?
https://youtube.com/watch?v=mqG7Ctbl9YY,_UNKNOWN_,104,https://www.youtube.com/playlist?list=PLRXyknBDMNN2jTGElzLg9dVYb_aTfkuI8,8,3,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,6,USLawEssentials,Evidence,What is the Best Evidence Rule?
https://youtube.com/watch?v=Wl92bHtrOvA,_UNKNOWN_,155,https://www.youtube.com/playlist?list=PLRXyknBDMNN2jTGElzLg9dVYb_aTfkuI8,8,4,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,6,USLawEssentials,Evidence,What is an expert witness?
https://youtube.com/watch?v=EQz3VHoxg98,_UNKNOWN_,250,https://www.youtube.com/playlist?list=PLRXyknBDMNN2jTGElzLg9dVYb_aTfkuI8,8,5,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,6,USLawEssentials,Evidence,What is the parol evidence rule?
https://youtube.com/watch?v=BMGBb8M9fuk,_UNKNOWN_,194,https://www.youtube.com/playlist?list=PLRXyknBDMNN2jTGElzLg9dVYb_aTfkuI8,8,6,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,6,USLawEssentials,Evidence,Introduction to Federal Rule of Evidence 404 and character evidence
https://youtube.com/watch?v=5tntP2QwIyY,_UNKNOWN_,148,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,0,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,What is a grand jury?
https://youtube.com/watch?v=SqHEYl58JdY,_UNKNOWN_,127,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,1,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,What is a plea agreement?
https://youtube.com/watch?v=zfh9pr2seBs,_UNKNOWN_,157,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,2,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,What is a strict liability crime?
https://youtube.com/watch?v=MVqnyRnFU50,_UNKNOWN_,64,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,3,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,What is Transferred Intent?
https://youtube.com/watch?v=GtHYjKEJ5cU,_UNKNOWN_,132,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,4,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,What is a plea agreement?
https://youtube.com/watch?v=euDAJ6gYLD8,_UNKNOWN_,241,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,5,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,What is Obstruction of Justice?
https://youtube.com/watch?v=xDvAvMAcDDA,_UNKNOWN_,197,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,6,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,How might Donald Trump Jr have Violated Federal Law?
